英単語,訳,発音,英語の意味,解説,用例,用例・訳
acceptance,受け入れ,ækˈsɛptəns,state of being okay with something or someone,"〈U〉受け取ること,認めること,受け入れられていること;同意 
〈U〉(手形の)引受け;〈C〉引受済み手形",torn jeans received no acceptance at the country club,例のカントリークラブは、破れたジーンズでは入れない
actress,女優,ˈæktrəs,a female actor,〈C〉女優,The actress on the stage was heavily made up.,舞台の上の女優は濃い化粧をしていた。
additionally,さらに,əˈdɪʃənəli,"furthermore, also","その上,さらに","Additionally, Jiun said, 'Kyoso does not exist without Jiso and Jiso does not exist without Kyoso, so that we should learn them together and try to attain Mitsugi (the Dharma of Mikkyo)(密義).'
","また、慈雲は「事相を離れて教相なく、教相を離れて事相なし、事教一致して、密義をつくすべき」と述べた。
"
advertiser,広告主,ˈædvərˌtaɪzər,someone who is selling something through media,"広告者,広告主","Yoshimoto hated to be called the founder of Naikan and said in his lectures, ""I'm just a showy advertiser of Naikan.""
","吉本自身は自らは創始者と呼ばれることを嫌い「わては内観のチンドン屋です」と講演などで話していた。
"
affordable,【形】手ごろな価格の；入手可能な,əˈfɔrdəbəl,"not expensive, one is able to pay easily","【形】手ごろな価格の；入手可能な
《困難などが》耐えられる
（類語：reasonable）",I hope you can join us at these very important July DCA meetings and complement your stay by exploring some of the many affordable charms of Tokyo.,この重要な７月のＤＣＡ会議にご出席いただき、さらにご宿泊中に東京の多様な魅力もお楽しみくださるよう希望しています。
afterward,その後,ˈæftərwərd,after an event or action,"『あとで』,以後,その後",I felt very light on my feet afterwards.,終わったあとも足が軽い感じがしました。
anyhow,どうせ,ˈɛniˌhaʊ,"anyway, besides","《否定文で》『どうしても』,なんとしても(by any means) 
《接続詞的に》いずれにせよ,とにかく(in any case) 
どうにかこうにか","Anyhow, just why is it that I have to be sent out in the middle of the night to buy a canned drink?",だいたい何でこんな真夜中にジュース買う為にパシらされなきゃなんないんだか・・・。
anytime,どんなときも,ˈɛniˌtaɪm,"at a time you choose, it's not important when","いつでも(at any time) 
きまって,常に","Provided you have a reservation, you can check in anytime.",もし予約があれば、いつでもチェックインできます。
artistic,芸術的,ɑrˈtɪstɪk,"to be creative, good at art","『芸術的な』 
芸術(美術)の;芸術家(美術家)の 
美的感受性に富む,美のわかる",He turned his artistic gifts to good account by becoming a painter.,彼は画家になって芸術的な天分を生かした。
baggage,【名/U】手荷物 / おてんば娘,ˈbægəʤ,travel bags,"〈U〉《米》《集合的に》(旅行用)『手荷物』《英》luggage) 
〈U〉軍用行李(こうり) 
〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所",She was kind enough to carry my baggage for me.,彼女は親切にも私の荷物を運んでくれた。
banker,銀行家；胴元,ˈbæŋkər,someone who works for the bank,"『銀行家』,銀行経営者 
(ゲームの)親,胴元",The actress said that she was engaged to a banker.,その女優は銀行家と婚約したといった。
beginner,初心者,bɪˈgɪnər,to be new at something,"初学者,初心者 
創始者","Tom's a beginner, but he catches on fast.",トムは初心者だが飲み込みが速い。
booklet,冊子,ˈbʊklɪt,"a small book, leaflet, or brochure","小冊子,パンフレット",This booklet is free of charge.,この小冊子は無料だ。
born,生まれ,bɔrn,brought to life,"bear〈他〉1の過去分詞(受動態にのみ用いる) 
【形】《名詞の前にのみ用いて》『生まれながらの』,先天的な(innate) 
『生まれた』；生じた",This is my little sister Sakiko. She was born the same year as me and is now studying for her exams.,妹の咲子です。俺と年子で、今受験生です。
bye,さよなら,baɪ,opposite of 'hello',バイ(クリケットで打者が打たない球が守備者を通り越した場合の得点),"By the bye, how he ever knew that,
","時に 、 どうして あの 人 が そんな 事 を 知っ て いる ん だろ う ね ？ 　
"
caller,呼び出し側,ˈkɔlər,the person that is phoning you,訪問客　来訪者　呼ぶ人(物)　(スクエアダンスで)ステップを大声で指示する人,He was besieged by callers.,彼は来客攻めにあった。
careless,不注意な,ˈkɛrləs,to do something with little care or attention,"(人が)『哀注意な』,軽率な 
《補語にのみ用いて》(…に)『無とんじゃくな』,無関心な,(…を)気にしない《+『of』+『名』(『wh-節』)》 
《名詞の前にのみ用いて》(仕事などが)『不注意な』,不用意な",A careless person is apt to make mistakes.,不注意な人間は過ちを犯しがちである。
carrier,運搬人；運送業者；使者,ˈkæriər,a person or thing that carries something,"『運搬する人』;輸送業者(会社) 
運搬する物,運客車;運客設備 
(…の)媒介体,保菌者《+『of』+『名』》 
(また『aircraft carrier』)航空母艦 
(自転車・車の)荷台","Written words, carrier pigeons, the telegraph, and many other devices carried ideas faster and faster from man to man.",文字、伝書鳩、電信、その他多くの方法で、情報はますます速く人から人へと伝えられるようになった。
cleaner,【名/C】掃除機；《The ~s》クリーニング屋（店）；クリーニングする人；清掃作業員；洗剤,ˈklinər,someone who cleans  for a living,【名/C】掃除機；《The ~s》クリーニング屋（店）；クリーニングする人；清掃作業員；洗剤,He demonstrated new vacuum cleaners.,彼は新型の掃除機の実物を見せて説明した。
cleanliness,清潔,ˈklɛnlinɪs,"state of being not dirty, clean",きれい好き;清潔,Cleanliness is proper to the Japanese.,清潔は日本人の習性だ。
collector,収集者；集金人,kəˈlɛktər,someone who buys and keeps old things,"(…の)収集家,採集者《+『of』+『名』》 
(…の)集金人,取り立て人;徴税官;(一般に)(…を)集める人《+『of』+『名』》",Don't tell me it was really a demand for money from debt collectors?,まさかリアルに借金の催促だったの？
colorful,色彩に富んだ；華やかな,ˈkʌlərfəl,having many different colors,"色彩に富んだ,多彩な,はなやかな 
(情景・場面などが)絵画的な,変化に富む;(描写などが)生彩のある",Since PlayStation 2 came out the game software store shelves have bloomed riotously with colorful new titles.,プレステ２発売後、ゲームソフト売り場は百花撩乱状態だ。
comfortably,楽に,ˈkʌmfərtəbli,to do something easily,"『ここちよく』,気楽に,なに不自由なく",He lives comfortably.,彼は快適に過ごしている。
completion,完了,kəmˈpliʃən,"the end, the finishing point","完成,成就;完了,修了",The completion of the bronze statue did credit to the sculptor.,銅像の完成はその彫刻家に名誉となった。
cooler,冷却器；冷たい清涼飲料,ˈkulər,a box (filled with ice) that keeps drinks cold,"冷却装置;冷却器,クーラー・清涼飲料 
《俗》《the cooler》留置場",The weather is becoming cooler.,涼しくなってきた。
costly,高価な,ˈkɑstli,"to be expensive, to be of a high price","『高価な』;費用のかかる 
損害(犠牲)の多い",Parking fines are very costly.,駐車違反の罰金は高い。
dealership,販売権；販売代理店,ˈdilərˌʃɪp,a business that can buy and sell certain things,(ある地域内の)商品販売権;その権利を持つ業者,"Additionally, large-scale development has proceeded along the National Route 9 on the south side of the station, and there are many big company stores such as Centum City Fukuchiyama (complex), Frespo Fukuchiyama (a shopping mall), UNIQLO (clothing shop), TSUTAYA (rental shop), Yofuku no Aoyama (ready-made men's wear), Kappa Zushi (Sushi restaurant), a Honda dealership (car dealer), a Yoshinoya restaurant, Tamahimeden (a wedding hall), McDonald's, SHIMAMURA (clothing shop), and Washoku Sato (restaurant).
","ほかにも駅南の国道９号線沿いに大規模な開発センタムシティ福知山や、フレスポ福知山、ユニクロ、TSUTAYA、洋服の青山、かっぱ寿司、ホンダ、吉野家、玉姫殿、マクドナルド、しまむら、和食さとなど大手の店がたくさん並んでいる。
"
definite,"明確な, はっきりとした; 正確な",ˈdɛfənət,"for certain, exact","『一定の』,(明確に)限定された 
『明確な』,確実な,すでに確定した",Give me a definite answer.,明確な返事が欲しい。
delicious,おいしい,dɪˈlɪʃəs,to taste good,"『おいしい』 
香りのよい 
喜ばしい,快い",The lunch she brought to me was as delicious as rumoured.,運んできてくれたランチは噂に違わず旨かった。
dependable,信頼できる；頼みになる,dɪˈpɛndəbəl,"reliable, trustworthy","信頼できる,頼りになる,当てにできる(reliable)","This source is dependable and predictable, but more research is still needed in this area.",この熱源は安心して使えるし、将来の予測もたてられるが、この分野での研究はさらに必要である。
dislike,【動/他】を嫌う【名/U】嫌いなこと / 嫌悪,dɪˈslaɪk,"to not like, hate","…‘を'『嫌う』(進行形にできない) 
(…を)『嫌いなこと』,いや気,嫌悪《+『for』(『of』)+『名』(do『ing』)》",I dislike shopping every day but I must do so.,毎日買い物をするのは好きじゃないけどそうしなければならない。
enjoyable,楽しい,ɛnˈʤɔɪəbəl,"not boring, fun","楽しろい,愉快な,楽しめる",I had an enjoyable two weeks in London.,ロンドンで楽しく２週間を過ごした。
explanatory,説明的,ɪkˈsplænəˌtɔri,to explain or make clear,"解説の,説明に役立つ",When I looked at the explanatory notes under the posts list I realized what was causing it.,投稿一覧の下の凡例を見て原因が分かりました。
finalize,完成させる；終了させる,ˈfaɪnəˌlaɪz,to make final,"〈計画など〉‘を'完成する,仕上げる",let's finalize the proposal,提案を最終決定しよう
fitness,適合；健康,ˈfɪtnəs,the state of being healthy,"(…を)適性,ふさわしさ《+『for』+『名』》 
体調の良いこと",The physical fitness courses are required for everyone.,体育の授業は全員が必修です。
flyer,チラシ,ˈflaɪər,"brochure, leaflet",=flier,"During the off season in 1972 Toei and Tokyu sold the Toei Flyers to Nittaku Home Corporation because of the poor performance of the baseball team and the fact that the ""Kuroi Kiri Incident,"" a game-fixing scandal in professional baseball at that time, made it difficult for the team to attract large audiences.
","成績不振と黒い霧事件(日本プロ野球)の余波で観客数が伸び悩んでいた東映フライヤーズを東急と共に1972年オフに日拓ホームに売却。
"
fortunately,幸運なことに,ˈfɔrʧənətli,"happily, luckily","『運よく』,幸いにも","I left home later than usual, but fortunately I was in time for the train.",普段よりも遅く家を出たけれど、幸いに汽車には間に合った。
gardener,植木屋,ˈgɑrdənər,a person who works with plants and flowers for a living,"『植木屋』,庭師,園丁",The gardener planted a rose tree in the middle of the garden.,庭師は庭の真ん中にバラの木を植えた。
generalization,一般化,ˌʤɛnərəlɪˈzeɪʃən,an idea that is true most of the time but not all of the time,"〈U〉一般化すること,概括すること 
〈C〉一般的な考え(説明,法則),一般論",I doubt these generalizations.,こういう一般化は疑わしい。
heater,発熱器；ヒーター,ˈhitər,something that warms a room,"(ストーブ・スチームなどの)暖房装置,ヒーター",An insulated soft-wood room and a good heater are the absolute necessities for a sauna.,軟木の絶縁された部屋およびよいヒーターはサウナのための絶対必要である。
homeless,ホームレス,ˈhoʊmləs,to be without a place to live,家のない,She spoke for the homeless.,彼女は家のない人々の代弁をした。
honestly,正直,ˈɑnəstli,"really, truly","正直に,公正に; 
《文全体を修飾し,通例文頭で用いて》正直なとこと,正直に用って;ほんとうに(really)","Honestly, I would also like to go.",本当は僕も行きたい。
hourly,毎時,ˈaʊrli,happens every 60 minutes,"1時間の;1時間ごとの 
絶え間のない,たびたびの(frequent) 
1時間ごとに 
しばしば,絶えず","Who, for instance, has duly reflected upon all the consequences of the marvellous struggle for existence which is daily and hourly going on among living beings?
","例えば 誰 か 、 生物 の 間 で 日々 刻々 繰り広げ られ て いる 凄まじい 生存 闘争 の すべて の 結果 を 十分 に 考え抜い た 人 が い た でしょ う か 。
"
