Word	POS	BNC Rank	Google Rank	IPA	Conjugations	Synonyms	Arabic	Chinese	German	Greek	English	French	Italian	Japanese	Korean	Dutch	Portuguese	Russian	Spanish	Swedish	Thai	Turkish
abdominal	adj.	12978	13609	æbdˈɑmənəl	N/A	N/A	N/A	N/A	des Bauches, des Leibes	γαστρικός, κοιλιακός	of or pertaining to the abdomen, of the belly, of the stomach area	abdominal	addominale, degli addominali, dello stomaco	腹部に関係する, 腹部の, 胴体の	복부의	van de buik; tot de buik behorend	abdominal	брюшной, абдоминальный, брюхоперый	abdominal	buk-, mag-, abdominal	เกี่ยวกับท้อง ตรงช่องท้อง	karın ile ilgili
absorb	v.	11466	15815	əbzˈɔrb	absorbs absorbed absorbing	N/A	امتص, استوعب, تشرب, استغرق	N/A	aufsaugen; aufnehmen	αφομοιώνω, απορροφώ	suck up; take up, take in	absorber; amortir	assorbire; assimilare; (fig) assorbire l'attenzione di; occupare, impegnare	吸収する; 取り込む; 夢中にさせる; 奪う	흡수하다; 흡수 동화하다, 열중시키다	absorberen; opnemen	absorver, sugar; captar	всасывать, впитывать, поглощать, абсорбировать; захватывать; вбирать, впивать; включать; амортизировать	absorber, embeberse de, concentrar; amortiguar; ser absorbente; cautivar la atención de, absorber el interés	absorbera, suga upp; införliva	N/A	kavramak, anlamak; emmek, özümsemek, çekmek, yutmak; devralmak
absorption	n.	8476	9690	əbzˈɔrpʃən	absorptions	amalgamation incorporation assimilation combination inclusion fascination interest captivation engagement immersion concentration	امتصاص, استيعاب, تشريب, استغراق, انهماك, مص	吸收, 专心, 全神贯注	Absorption (Chem., Phys.); Aufsaugung, Aufnahme; Vertiefung	απορρόφηση, απορροφητικότητα	sucking up; taking in; preoccupation, mental engrossment	absorption; approfondissement; intégration	assorbimento, assimilazione; (fig) profondo interesse	吸収; 併合; 夢中になること, 専心すること	흡수; 병합; 몰두, 전념	absorptie; verdieping; het worden opgenomen	absorção; concentração; aprofundamento	всасывание, впитывание, поглощение, абсорбция; погруженность	absorción, abstracción, enfrascamiento, ensimismamiento, imbibición	absorption, uppsugning; försjunkenhet; införlivande	การหมกมุ่น	emme, içine çekme, emilme; kendini verme, dalma
accelerate	v.	17283	13323	æksˈɛlɜˌeɪt	accelerates accelerated accelerating	N/A	سرع, عجل, عاجل, تسارع	N/A	beschleunigen; Geschwindigkeit erhöhen	επιταχύνω	cause to move or happen faster, hasten; increase the speed of, quicken	accélérer; presser	accelerare	加速する; 促進する	속력을 빠르게 하다, 촉진하다; 시기를 빠르게 하다	versnellen; snelheid verhogen	acelerar; apressar	ускорять, разгонять, увеличивать скорость, ускоряться, ускорить	acelerar, apresurar la marcha, meter prisa; apresurar la marcha de	accelerera, öka hastigheten; påskynda	N/A	hızlanmak, hız kazanmak, hızlandırmak, çabuklaştırmak, gaza basmak; canlandırmak; özendirmek
acceleration	n.	10970	11390	ˌæksˌɛlɜˈeɪʃən	accelerations	hastening hurrying quickening rushing	تسارع, تعجيل, تسريع, عجلة	加速, 促进, 加速度	Beschleunigung	επιτάχυνση	increase of speed	accélération	accelerazione	加速	가속	versnelling	aceleração	ускорение, учащение, акселерация	aceleración, aceleramiento, aumento de velocidad; prisa	acceleration; påskyndande	ความเร่ง	süratlenme, hızlandırma, hızlanma, ivme
accent	n.	6191	8872	əksˈɛnt	accents accented accenting	N/A	لهجة, نبرة, العلامة النطقية, توكيد	重音, 口音, 特点, 注重点	Akzent; Betonung	τόνος, προφορά	mode of pronunciation characteristic of a group of people or region; emphasis placed on a certain syllable in a word; mark on a letter or word showing stress or pitch; emphasis; contrasting element	accent; mise en relief; accentuation	accento; accento straniero; tono, intonazione, cadenza; enfasi, rilievo, risalto; (mat.) apice;	なまり, 人々や地域による発音の特徴; 言葉の確実な音節を強調すること; アクセント符号をつけること; 強調すること; 構成要素を対比させること	사람이나 지역의 독특한 발음양식; 단어에서의 액센트; 강조	accent; aandacht; nadruk	acentuação, acento; sotaque; tom, inflexão da voz	ударение, знак ударения, произношение, акцент, отличительный признак, главная черта, речь, язык	acento, tilde; deje, dejo, modulación, pronunciación, tonillo, tono; énfasis, acentuación	accent (språkligt); tryck; betoning	สำเนียง	aksan, şive, vurgu, aksan işareti; ağız; ayırıcı özellik; önem
accumulate	v.	20404	19229	əkyˈumyəlˌeɪt	accumulates accumulated accumulating	N/A	كوم, تكدس, جمع, ركم, تراكم, كدس	N/A	speichern; aufheben; sammeln	συσσωρεύω, συσσωρεύομαι	amass, gather, collect; be gathered, be collected	accumuler; cumuler; s'accumuler, être accumulé	accumulare, ammucchiare, ammassare, mettere insieme	集める; 蓄積する	모으다; 모이다	opstapelen; ophopen	acumular; amontoar; aumentar, crescer	накапливать, накопить, скапливать, аккумулировать, складывать	acumular, acaudalar, acopiar, aglomerar, amasar, amontonar	ackumulera, samla; ackumuleras, samlas, hopas	N/A	toplamak, biriktirmek, yığmak, toplanmak; birikmek
accumulation	n.	8591	11474	əkyˌumyəlˈeɪʃən	N/A	buildup accretion accrual gathering growth addition increase amassing collection stock store hoard deposit heap	تراكم, تكديس, تجميع, شىء متراكم, تراكمي	积聚, 累积, 积聚物	Ansammlung; Anhäufung; Akkumulation; Haufen	συσσώρευση	gathering; collection; agglomeration, pile	accumulation; cumul	accumulazione; cumulo, mucchio; raccolta, collezione; (Econ) capitalizzazione	収集; 蓄積; 蓄積物	모으기; 축적,집적	stapel; hoop; accumulatie	acumulação; acúmulo; amontoamento	накопление, аккумуляция, собирание; груда, масса; скопление	acumulación, acumulamiento, agestión, aglomeración, agolpamiento, cúmulo, montón	hopande, samlande; anhopning, ackumulation	ของที่เก็บสะสม ของที่รวบรวมไว้	birikim, yığın, toplanma
accuracy	n.	5399	2700	ˈækyɜəsi	accuracies	correctness exactness precision truth truthfulness	دقة, صبغ, ضبط	精确, 正确	Genauigkeit, Präzision	ακρίβεια	preciseness, exactness	exactitude, ponctualité	precisione, esattezza; accuratezza, diligenza	正確さ	정확, 정확성	nauwkeurigheid; precisie	exatidão; precisão	точность, правильность; прецизионность, тщательность, аккуратность; меткость	exactitud, precisión, veracidad	exakthet, precision	ความระมัดระวัง ความสามารถที่จะหลีกเลี่ยงข้อผิดพลาด	doğruluk, kesinlik, tamlık; ayar
accurately	adv.	6097	8359	ˈækyɜətli	N/A	N/A	بدقة, على نحو صحيح, على نحو مضبوط	N/A	genau, präzise	N/A	precisely, exactly	exactement, fidèlement	esattamente, con precisione; accuratamente	正確に	정확히	precies, nauwkeurig	exatamente; primorosamente	точно, правильно, тщательно, безошибочно	exactamente, acertadamente, acuradamente, atinadamente, con precisión, concienzudamente, escrupulosamente, fielmente, religiosamente	exakt, precist	อย่างแม่นยำ อย่างถูกต้อง, อย่างเที่ยงตรง	tam olarak, kesin olarak
