Lemma (見出し語)	Rank	Frequency (頻度)	Japanese (by Google)	Commentary (解説)	cf. code	Category code
a	6	492,569	a	アルファベットのa. ひとつの. 1人の. 例示時(NATO phonetic alphabetという. 以下zまで同) A as Alpha.		35
AA	3,818	449	単3電池	単3電池		29
AAA	6,879	187	単4電池	単4電池 2. AAA(Aromatic Amino Acid 芳香族アミノ酸-芳香族基を持つアミノ酸)		29
AAC	17,312	42	AAC	Advanced Audio Coding. 音声圧縮の方式		95
Aaron	7,116	178	アーロン	アロン. Mosesの兄. ユダヤ教最初の祭司長(聖書)		98
AB	5,003	303	AB	Antibody(抗体). abdomenの略(おなか). artium baccalaureus(文学士). Abscess(膿瘍). Anheuser‐Busch(アンハイザー･ブッシュ ビール会社)		29
aback	22,636	26	後ろに	後ろに		
abacus	32,594	13	そろばん	そろばん		
abalone	35,353	11	アワビ	アワビ		74
abandon	2,454	845	捨てる	を捨てる. 放棄する. give up. desert	797	
abandonment	15,956	48	放棄	放棄	797	
abasic	26,829	19	無塩基	脱塩基		87
abate	17,555	41	弱まる	の勢いを減らす. 和らげる. やわらぐ. おさまる		
abattoir	55,144	4	食肉処理場	食肉処理場		18
abbess	50,313	5	女子修道院長	尼僧院長. 修道女の長		6
abbey	8,417	136	修道院	修道院. 僧院		6
abbot	16,610	45	修道院長	修道院長		8
abbreviate	28,448	17	短縮する	短くする. 省略する. 短縮する		27
abbreviated	13,952	60	略された	省略された		27
abbreviation	4,475	357	略語	略語. 省略. 短縮		27
ABC	2,817	695	ABC	Atomic Biological Bacteriological & Chemical(ABC兵器). 2. ABC朝日放送		23
abdicate	32,594	13	放棄する	を捨てる. (正式に)放棄する. 退位する	797	
abdication	24,827	22	退位	退位. (権利などの)放棄		
abdomen	17,841	40	腹部	腹部. 腹		79
abdominal	8,746	128	腹部	腹部. 腹部の		79
abduct	36,956	10	誘拐する	誘拐する		13
abducted	15,548	50	拉致	誘拐された		13
abduction	11,169	86	拉致	誘拐. 拉致		13
Abdul	10,027	102	アブドゥル	アブドゥル (人名)		98
abed	55,144	4	就床して	就床して		
Abel	20,527	31	アベル	アベル(AdamとEveの第2子. 兄Cainに殺された)(聖書)	113	98
Abercrombie	23,138	25	アバークロンビー	Abercrombie＆Fitch アーバークロンビー. (ファッションブランド)		96
Aberdeen	24,827	22	アバディーン	アバディーン. エディンバラ,グラスゴーに次ぐスコットランド第3の港湾都市		2
aberrant	9,498	112	常軌を逸した	正道をはずれた. 常軌を逸した. 異常な	293	
aberration	16,191	47	収差	狂い. 脱線(行為). 異常. 精神異常. (光の)収差	293	
abet	19,536	34	唆す	扇動. 扇動する. (悪事)をけしかける. 教唆する		
abhor	24,827	22	忌み嫌う	ひどく嫌う. ぞっとするほど嫌う. 拒否する	291	82
abhorrence	55,144	4	嫌悪	嫌悪の情	727	82
abhorrent	43,408	7	忌まわしい	嫌悪すべき. 大嫌いな	727	82
abide	10,369	97	守る	がまんする. とどまる. 待つ. 従う. 住む. 規則を守る		
abigail	18,918	36	アビゲイル	腰元. 侍女		25
Abilene	18,353	38	アビリーン	アビリーン. テキサス州の都市名		2
ability	913	2,692	能力	能力. 腕力. 才能		
abiotic	22,163	27	非生物	非生物		
abject	20,527	31	情けない	無気力の. 悲惨な. 情けない. 卑屈な	821	
abjure	40,852	8	捨てる	宣誓して捨てる	797	12
ABL	20,184	32	ABL	Airborne Laser(エアボーンレーザー,空中発射レーザー)		23
ablate	35,353	11	切除する	除去する		92
ablated	26,829	19	アブレーション	切除された		92
ablation	12,240	74	アブレーション	＜ablate. 切除		92
ablative	50,313	5	アブレーション	奪格. 名詞の格の一つで,主に起点･分離(～から)を示す		27
ablaze	27,590	18	輝いている	燃え立った. 燃え立って. 輝いて. 興奮して	999	
able	413	5,672	できる	能力のある. ～できる		
ably	32,594	13	巧みに	りっぱに. 巧みに		
ABM	31,439	14	ABM	anti-ballistic missile. 弾道弾迎撃ミサイル		23
abnormal	5,115	292	異常な	異常な	819	
abnormality	5,011	302	異常	普通でないこと･もの. 異常. 奇形. (体の)変調. 障害	819	
abnormally	19,875	33	異常に	異常に	819	
aboard	6,432	208	乗って	(船･バスなど)に乗って. 搭乗して. on board		41
abolish	5,806	244	廃止する	(法律･制度など)を廃止する	797	
abolition	15,194	52	廃止	廃止. 全廃	797	
abolitionist	23,649	24	廃止論者	廃止論者		
abominable	33,910	12	忌まわしい	忌まわしい. 言語道断な. 実に不快な. 全くひどい	727	82
abomination	20,935	30	醜態	嫌悪. 憎悪	614	82
Aboriginal	13,799	61	先住民	オーストラリアの原住民(Aborigine)の, 土着の	312	5
Aborigine	19,536	34	アボリジニ	アボリジニ(オーストラリアの原住民). 4万年以上前にアジアから移住したとされる. (形. Aboriginal)	312	5
abort	22,636	26	中止	流産する. 頓挫する. むだに終わる	755	92
aborted	22,636	26	アボート	中絶された		81
abortion	2,470	837	中絶	人工中絶. 堕胎. 流産. 早産. (器官の)発育不全		92
abortionist	40,852	8	堕胎医	人工中絶賛成者		89
abortive	20,527	31	失敗に終わった	失敗に終わった. 失敗に終わる. 実を結ばない. むなしい	755	
abortus	18,918	36	流産児	流産児		89
abound	8,469	135	たくさんある	沢山いる. たくさんいる. 多い. 富む		
about	38	59,306	約	約. について		
above	626	3,934	の上に	の上に. 超越して		
Abraham	8,148	143	アブラハム	アブラハム(ユダヤ人の先祖)(聖書)		98
abrasion	32,594	13	摩耗	すりへり		
abrasive	22,636	26	研磨剤	すり減らす. 研磨剤. 研磨の. 不快な		
abreast	18,064	39	横に並んで	並んで. 並行して		
abridge	30,344	15	削減する	要約する. 短縮する. 縮小する. 削減する. 弱める. 要約		
abroad	3,874	441	海外で	外国で. 外国へ		
abrogate	27,590	18	廃止する	(法律などを)廃止する. 捨てる	797	12
abrogated	30,344	15	廃止	廃止の	797	
abrogation	40,852	8	廃止	＜abrogate. (法律などの)廃止. 破棄	797	12
abrupt	11,485	82	突然の	不意の. 険しい. 突然の		
abruptly	9,960	103	突然	突然に		
ABS	92,134	1	ABS	ABS. (anti-lock brake system). 自動車が急ブレーキをかけたとき,ロックを起こした車輪のブレーキの油圧を調節し,安全に止まれるようにした装置		41
abscess	26,829	19	膿瘍	膿瘍(のうよう). 生体組織内に,崩壊した好中球由来の分解酵素で化膿性炎症が生じ,膿を持った空洞ができた状態	605	91
absence	1,555	1,491	不在	留守. 欠席. 欠乏		
absent	3,801	452	欠席	ぼんやりした. 不在で. を欠席する		
absentee	15,371	51	不在者	欠席者. 不在者		
absenteeism	27,590	18	常習的欠勤	長期欠勤. 無断欠勤. 常習的欠席		
absently	38,763	9	ぼんやり	うっかりして. ぼんやりと		
absinthe	36,956	10	アブサン	アブサン. ニガヨモギ風味の強いリキュール		39
absolute	2,640	756	絶対的な	絶対の. 確実な. 絶対的な	486	18
absolutely	1,630	1,406	絶対に	絶対的に. 完全に	741	
absolution	35,353	11	赦免	(法律)免除. 無罪. 放免. 釈放. 免罪. (キリスト教)absolution from (of) sins 罪の赦免.	368	6
absolutism	35,353	11	絶対主義	専制政治		19
absolutist	29,384	16	絶対主義者	絶対主義者		19
absolve	29,384	16	免除する	免除する. 解除する. に無罪を申し渡す	368	12
absorb	4,031	416	吸収する	を吸収する		
absorbance	8,066	145	吸光度	吸光度		
absorbent	35,353	11	吸収剤	吸収できる		
absorber	10,494	95	吸収体	吸収物. 緩衝物	416	
absorption	5,191	286	吸収	吸収. 吸着. 吸着量		
abstain	18,064	39	棄権する	慎む. 控える. 絶つ. やめる. 禁酒する	650	
abstention	40,852	8	棄権	節制すること. 回避. 棄権. 慎むこと. 不参加. 不干渉		
abstinence	13,139	66	禁欲	禁欲. 断つこと. 節制. 禁酒	438	
abstinent	55,144	4	禁欲	節度のある. 禁欲的な. 禁酒の	438	
abstract	4,254	385	抽象	理論的な. 抽出する. 抽象的な. 難解な		
abstracted	18,918	36	抽象化された	ぼんやりした		
abstraction	12,442	72	抽象化	抽象作用. 抽象		
abstruse	32,594	13	難解な	難解な. 難しい. 深遠な		
absurd	5,952	235	ばかげた	ばからしい. 不合理な. ばかげた	879	
absurdist	31,439	14	不条理主義の	不条理主義の. 不条理主義者(作家)		19
absurdity	13,018	67	不条理	不合理. 不条理		
absurdly	17,841	40	ばかばかしいほど	不条理に. ばかげて	879	
abundance	3,948	429	豊富	豊富さ. affluent. 豊富な. 多数. 多量. 発生量		
abundant	4,992	304	豊富な	豊富な		
abundantly	16,407	46	豊富に	豊富に		
abuse	1,448	1,618	虐待	の悪口を言う. 濫用(する). 悪用(する). 虐待(する)	666	
abuser	14,381	57	虐待者	乱用者	666	
abusive	7,969	148	虐待的な	悪用された. 口汚くののしって	666	
abut	26,829	19	隣接する	(建物など)が隣接する. 境を接する. 接触する. 沿う		
abuzz	43,408	7	騒然と	ざわめき立って	482	
abysmal	25,431	21	ひどい	底知れぬ		
abyss	26,084	20	深淵	深い淵. 深淵. 底知れない穴. 地獄. 底無し地獄	532	
AC	4,561	347	AC	alternating current. 交流. (cf. direct current DC. 直流)	105	60
acacia	40,852	8	アカシア	アカシア		69
